Rebalance Bikes To Station #,Rebalance Bikes From Station #
340,3786
3101,3899
3383,3539
312,3905
3452,3093
3053,3755
471,3016
432,3746
361,3804
301,3664
513,3809
311,249
3350,3542
342,3692
453,3472
120,3583
393,3787
307,3723
3338,3540
473,3690
383,3441
470,3785
3314,3457
531,3461
408,3783
412,309
529,484
3148,3125
401,392
3259,455
3308,3720
3158,281
504,228
3173,3814
3288,3615
3341,3649
3169,367
3167,305
317,390
3170,3815
3100,3900
3150,3555
439,3440
532,343
3177,3611
445,324
501,3119
3285,3892
3301,3593
3356,3704
461,3232
278,3246
400,3648
369,264
394,243
289,3066
416,3795
420,3068
3315,337
331,260
265,304
266,3757
3164,3691
3241,3890
291,534
157,259
356,3897
3328,3901
3096,3902
3286,3895
3509,3896
411,3903
3118,3893
3161,3810
3307,3912
3437,3552
349,3656
3293,3536
3323,3553
258,3917
487,3918
3496,3521
332,242
3236,493
82,3916
295,3790
3454,3668
241,239
3320,3623
3157,3721
3319,3399
3151,3898
262,3415
3295,3534
3287,3697
3162,3132
3058,3907
3284,3628
3178,456
3106,3613
3094,3910
174,3749
2009,351
530,522
3290,3734
3135,440
3166,3486
3095,3781
3050,3673
3396,3398
275,3576
3057,3581
3052,3909
3146,310
3351,3911
3354,3335
244,3303
3325,3908
3321,3382
3110,3373
